Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,242.881851,247.822693,239.018738,247.674438,247.674438,477391843
2023-06-21,247.682938,253.541931,245.548248,249.286346,249.286346,717670519
2023-06-22,249.276474,256.220032,240.052200,240.792435,240.792435,709030407
2023-06-23,240.792053,248.809784,240.094818,244.564941,244.564941,493157882
2023-06-24,244.553513,248.428619,231.994751,236.659653,236.659653,558809140
2023-06-25,236.636765,241.872757,235.636139,238.892990,238.892990,414941211
2023-06-26,238.879120,241.173843,234.296341,236.134262,236.134262,427457532
2023-06-27,236.131073,240.822845,234.990067,237.492676,237.492676,348181738
2023-06-28,237.502640,237.580154,226.977097,230.650360,230.650360,480872336
2023-06-29,230.632401,236.421005,230.587692,233.232452,233.232452,332343168
2023-06-30,233.194443,241.312943,232.200516,240.369781,240.369781,626872820
2023-07-01,240.386902,248.470261,240.386902,247.759430,247.759430,603755323
2023-07-02,247.786026,248.056396,243.241272,246.257919,246.257919,519491311
2023-07-03,246.254639,251.379852,245.884827,246.382217,246.382217,669962148
2023-07-04,246.345291,246.838791,241.228531,242.492920,242.492920,439591635
2023-07-05,242.499481,243.861115,237.120117,239.081085,239.081085,455501209
2023-07-06,239.068527,244.102676,232.171814,232.319427,232.319427,536134671
2023-07-07,232.333420,236.079117,231.645737,235.621155,235.621155,418416864
2023-07-08,235.610260,237.411911,234.637146,236.287384,236.287384,319300746
2023-07-09,236.294556,237.019516,233.476044,234.228363,234.228363,289327973
2023-07-10,234.232956,246.299698,232.007568,245.874268,245.874268,834091613
2023-07-11,245.896271,249.205399,244.939011,248.538330,248.538330,536228377
2023-07-12,248.538086,250.340652,242.803360,244.019882,244.019882,505389150
2023-07-13,244.002228,257.265625,243.049728,256.489685,256.489685,761150982
2023-07-14,256.464203,261.102600,244.275665,248.191620,248.191620,799468588
2023-07-15,248.175522,252.537262,247.508072,251.099701,251.099701,422767368
2023-07-16,251.098236,251.882416,242.580139,242.656830,242.656830,441487283
2023-07-17,242.658096,244.682037,240.597595,244.352997,244.352997,671028354
2023-07-18,244.334579,246.530853,238.704224,240.264938,240.264938,751858394
2023-07-19,240.274185,243.927704,239.993591,241.160812,241.160812,499664149
2023-07-20,241.138885,243.142593,240.387741,242.733139,242.733139,485038743
2023-07-21,242.754288,245.163345,242.367477,243.788986,243.788986,413015398
2023-07-22,243.809082,244.858734,240.512619,241.030746,241.030746,310128851
2023-07-23,241.054657,243.976486,240.761215,242.455963,242.455963,279600847
2023-07-24,242.449432,242.891876,236.292389,238.946213,238.946213,451906472
2023-07-25,238.964096,239.637207,236.999405,237.808563,237.808563,366519529
2023-07-26,237.819077,240.237717,236.641129,238.962357,238.962357,417581395
2023-07-27,238.960114,243.163513,238.638443,240.498795,240.498795,433186880
2023-07-28,240.505127,242.796997,239.987869,241.977036,241.977036,388148322
2023-07-29,241.971344,242.726273,241.323135,242.576370,242.576370,317500344
2023-07-30,242.582214,243.785721,240.925186,242.525986,242.525986,425584373
2023-07-31,242.519592,244.202576,240.764450,241.120651,241.120651,1092564922
2023-08-01,241.128052,247.505020,238.530243,247.505020,247.505020,830645013
2023-08-02,247.490311,248.511551,236.891769,240.494644,240.494644,650256385
2023-08-03,240.509979,241.583252,238.509644,241.061523,241.061523,400525696
2023-08-04,241.042862,243.155472,240.452286,241.476013,241.476013,370373499
